Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,3893.17,3911.79,3863.83,3910.64,3910.64,0
2018-11-27,3888.31,3931.71,3868.53,3908.74,3908.74,0
2018-11-28,3944.95,4015.53,3891.66,4015.05,4015.05,0
2018-11-29,3990.37,4007.76,3957.67,3974.36,3974.36,0
2018-11-30,3988.34,4037.6,3959.13,4037.56,4037.56,0
2018-12-03,4134.75,4141.3,4078.24,4118.1,4118.1,0
2018-12-04,4095.0,4099.65,3944.43,3949.88,3949.88,0
2018-12-06,3857.62,3954.62,3844.46,3954.46,3954.46,0
2018-12-07,3934.41,3954.98,3801.32,3816.66,3816.66,0
2018-12-10,3811.99,3876.16,3785.29,3860.06,3860.06,0
2018-12-11,3933.08,3949.76,3852.65,3878.19,3878.19,0
2018-12-12,3947.79,3984.76,3919.16,3930.23,3930.23,0
2018-12-13,3955.63,3964.27,3902.25,3920.61,3920.61,0
2018-12-14,3864.9,3908.84,3835.95,3837.82,3837.82,0
2018-12-17,3824.74,3856.65,3730.3,3754.22,3754.22,0
2018-12-18,3789.82,3823.51,3760.64,3783.64,3783.64,0
2018-12-19,3766.29,3819.53,3645.52,3668.37,3668.37,0
2018-12-20,3667.56,3701.16,3573.82,3621.35,3621.35,0
2018-12-21,3678.12,3678.55,3526.4,3539.26,3539.26,0
2018-12-24,3510.39,3557.78,3456.47,3457.92,3457.92,0
2018-12-26,3494.81,3649.39,3451.91,3649.39,3649.39,0
2018-12-27,3591.71,3685.81,3551.09,3684.27,3684.27,0
2018-12-28,3700.04,3744.24,3651.14,3683.94,3683.94,0
2018-12-31,3725.04,3733.67,3672.5,3705.78,3705.78,0
2019-01-02,3628.18,3751.13,3628.18,3728.4,3728.4,0
2019-01-03,3652.34,3671.07,3543.39,3547.57,3547.57,0
2019-01-04,3611.82,3722.96,3601.36,3708.36,3708.36,0
2019-01-07,3718.23,3790.38,3709.77,3762.77,3762.77,0
2019-01-08,3801.13,3806.39,3726.0,3780.87,3780.87,0
2019-01-09,3815.68,3872.94,3813.13,3851.1,3851.1,0
2019-01-10,3822.72,3878.4,3810.34,3877.08,3877.08,0
2019-01-11,3852.18,3900.91,3845.47,3881.49,3881.49,0
2019-01-14,3831.0,3848.8,3809.28,3828.09,3828.09,0
2019-01-15,3848.76,3887.39,3846.11,3869.5,3869.5,0
2019-01-16,3869.47,3894.47,3856.41,3858.29,3858.29,0
2019-01-17,3833.36,3906.43,3823.27,3888.33,3888.33,0
2019-01-18,3922.49,3989.19,3908.47,3971.49,3971.49,0
2019-01-22,3935.92,3936.95,3849.57,3874.74,3874.74,0
2019-01-23,3898.55,3919.55,3832.96,3871.62,3871.62,0
2019-01-24,3925.03,3997.59,3925.03,3988.8,3988.8,0
2019-01-25,4048.41,4094.74,4023.25,4083.36,4083.36,0
2019-01-28,3989.51,4044.32,3978.85,4034.12,4034.12,0
2019-01-29,4040.98,4047.35,3976.81,3984.47,3984.47,0
2019-01-30,4040.18,4107.94,4014.99,4099.41,4099.41,0
2019-01-31,4106.85,4163.03,4099.25,4139.61,4139.61,0
2019-02-01,4151.72,4203.72,4148.52,4186.38,4186.38,0
2019-02-04,4186.75,4233.49,4174.0,4230.16,4230.16,0
2019-02-05,4230.11,4262.74,4227.95,4253.31,4253.31,0
2019-02-06,4290.6,4333.37,4289.73,4311.67,4311.67,0
2019-02-07,4261.54,4279.52,4199.88,4234.68,4234.68,0
2019-02-08,4182.79,4246.24,4182.35,4245.76,4245.76,0
2019-02-11,4264.22,4269.26,4234.89,4248.13,4248.13,0
2019-02-12,4294.02,4339.3,4285.03,4331.44,4331.44,0
2019-02-13,4351.36,4355.84,4322.14,4326.32,4326.32,0
2019-02-14,4305.36,4346.05,4299.9,4334.16,4334.16,0
2019-02-15,4360.6,4369.36,4328.26,4347.42,4347.42,0
2019-02-19,4338.7,4364.92,4338.47,4345.75,4345.75,0
2019-02-20,4366.58,4391.89,4349.73,4364.19,4364.19,0
2019-02-21,4357.51,4365.06,4321.36,4334.6,4334.6,0
2019-02-22,4365.24,4394.53,4359.55,4394.53,4394.53,0
2019-02-25,4446.53,4463.42,4419.82,4421.99,4421.99,0
2019-02-26,4410.2,4424.2,4396.82,4406.76,4406.76,0
2019-02-27,4386.5,4390.27,4333.79,4373.68,4373.68,0
2019-02-28,4355.02,4383.2,4342.33,4368.14,4368.14,0
2019-03-01,4413.74,4418.14,4357.29,4396.09,4396.09,0
2019-03-04,4425.79,4429.73,4325.42,4380.23,4380.23,0
2019-03-05,4374.73,4388.55,4347.47,4373.54,4373.54,0
2019-03-06,4370.86,4371.21,4323.61,4325.58,4325.58,0
2019-03-07,4305.2,4314.49,4263.68,4285.86,4285.86,0
2019-03-08,4216.19,4285.91,4211.91,4284.47,4284.47,0
2019-03-11,4306.82,4388.14,4305.5,4376.24,4376.24,0
2019-03-12,4388.38,4411.51,4363.39,4395.87,4395.87,0
2019-03-13,4417.72,4446.72,4408.19,4410.75,4410.75,0
2019-03-14,4408.83,4425.4,4400.75,4404.87,4404.87,0
2019-03-15,4434.19,4487.99,4426.63,4470.38,4470.38,0
2019-03-18,4473.05,4497.89,4438.16,4464.08,4464.08,0
2019-03-19,4489.99,4511.13,4482.38,4499.18,4499.18,0
2019-03-20,4501.29,4510.62,4443.05,4477.03,4477.03,0
2019-03-21,4482.79,4623.09,4482.79,4606.49,4606.49,0
2019-03-22,4581.35,4589.21,4477.08,4479.02,4479.02,0
2019-03-25,4452.94,4483.55,4415.95,4451.76,4451.76,0
2019-03-26,4495.6,4517.75,4455.74,4481.2,4481.2,0
2019-03-27,4488.09,4494.37,4389.85,4422.85,4422.85,0
2019-03-28,4433.09,4459.24,4397.8,4427.83,4427.83,0
